,Zone,average_time_between_pickups
0,Governor's Island/Ellis Island/Liberty Island,694852.6853932585
1,Corona,52.69110326341318
2,Newark Airport,3271.7720207253888
3,Jamaica Bay,62367.01582591494
4,Allerton/Pelham Gardens,80.38454880997837
5,Alphabet City,51.58379424688414
6,Arden Heights,719.1763399719879
7,Arrochar/Fort Wadsworth,350.6969177036309
8,Astoria,123.29160169891912
9,Astoria Park,4610.303620966564
10,Auburndale,233.73241307847454
11,Baisley Park,345.029358379986
12,Bath Beach,169.38709166979564
13,Battery Park,1278.9185347184255
14,Battery Park City,249.81211226464853
15,Bay Ridge,35.83926782944923
16,Bay Terrace/Fort Totten,279.85499379652606
17,Bayside,105.69758926255366
18,Bedford,20.22333338883474
19,Bedford Park,34.568470485208394
20,Bellerose,262.5960243147951
21,Belmont,58.19718276115944
22,Bensonhurst East,71.63724690662072
23,Bensonhurst West,55.077854034585904
24,Bloomfield/Emerson Hill,137.5202913382398
25,Bloomingdale,563.0559340737772
26,Boerum Hill,232.63646303129698
27,Borough Park,37.21243434173818
28,Breezy Point/Fort Tilden/Riis Beach,2003.6129636092517
29,Briarwood/Jamaica Hills,84.2318404722244
30,Brighton Beach,86.97061561383747
31,Broad Channel,4018.571964876559
32,Bronx Park,403.3411926992196
33,Bronxdale,63.21879638814345
34,Brooklyn Heights,41.38826735833057
35,Brooklyn Navy Yard,239.2273228307683
36,Brownsville,24.15568679975859
37,Bushwick North,24.83295620264323
38,Bushwick South,16.24420160398842
39,Cambria Heights,169.04433113859002
40,Canarsie,21.556648433825572
41,Carroll Gardens,82.70629153598858
42,Central Harlem,147.35131667469463
43,Central Harlem North,108.4276708431437
44,Central Park,278.5038547706011
45,Charleston/Tottenville,483.9320123516386
46,Chinatown,535.3647945334196
47,City Island,820.3301987271075
48,Claremont/Bathgate,46.19854481031843
49,Clinton East,90.75179614855185
50,Clinton Hill,206.5896809361409
51,Clinton West,179.86655309384003
52,Co-Op City,307.75795043460124
53,Cobble Hill,133.39454914492455
54,College Point,138.71885981866743
55,Columbia Street,364.09067482964963
