┌─────────────┬────────────────────┬───────────────────┬────────────────────┐
│ fare_amount │   avg_zone_fare    │ avg_borough_fare  │  overall_avg_fare  │
│   double    │       double       │      double       │       double       │
├─────────────┼────────────────────┼───────────────────┼────────────────────┤
│         2.5 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        90.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        85.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        79.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        85.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        80.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        85.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        95.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        81.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        70.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│      123.12 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        95.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        85.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        95.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        92.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        85.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        85.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│       94.05 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        85.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│        79.0 │  78.13220705790606 │ 78.13220705790606 │ 13.141501256210448 │
│          ·  │          ·         │         ·         │          ·         │
│          ·  │          ·         │         ·         │          ·         │
│          ·  │          ·         │         ·         │          ·         │
│         7.5 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│        41.0 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│         9.0 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│        45.0 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│        35.0 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│        24.5 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│        29.0 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│         3.5 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│         5.0 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│         6.0 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│         4.5 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│        38.5 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│         4.0 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│         6.0 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│         2.5 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│        -2.5 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│         4.5 │  24.25617293104518 │ 24.34384060914543 │ 13.141501256210448 │
│         8.0 │  34.67745294855699 │ 24.34384060914543 │ 13.141501256210448 │
│        8.99 │  34.67745294855699 │ 24.34384060914543 │ 13.141501256210448 │
│         8.0 │ 20.491179196704632 │ 24.34384060914543 │ 13.141501256210448 │
├─────────────┴────────────────────┴───────────────────┴────────────────────┤
│ 55553400 rows (40 shown)                                        4 columns │
└───────────────────────────────────────────────────────────────────────────┘
